review_id,lang,role
113933625,en,codebook_check
118355793,en,codebook_check
222751113,en,codebook_check
195647294,en,codebook_check
216427811,en,codebook_check
180707615,en,codebook_check
227647442,en,codebook_check
203001509,en,codebook_check
218565693,en,codebook_check
106688549,en,codebook_check
117349707,en,codebook_check
103037208,en,codebook_check
187332712,en,codebook_check
226171935,en,codebook_check
106235691,en,codebook_check
226107952,en,codebook_check
148042350,en,codebook_check
220236664,en,codebook_check
111644243,en,codebook_check
224450185,en,codebook_check
228928050,zh,codebook_check
150223003,zh,codebook_check
231587282,zh,codebook_check
197317739,zh,codebook_check
157792356,zh,codebook_check
228314791,zh,codebook_check
196534481,zh,codebook_check
219993800,zh,codebook_check
161319726,zh,codebook_check
228466713,zh,codebook_check
151615816,zh,codebook_check
199520959,zh,codebook_check
222895875,zh,codebook_check
150224641,zh,codebook_check
221158845,zh,codebook_check
227213259,zh,codebook_check
204069394,zh,codebook_check
169979338,zh,codebook_check
225184192,zh,codebook_check
150213777,zh,codebook_check
104375491,ja,codebook_check
103107186,ja,codebook_check
103066720,ja,codebook_check
161084350,ja,codebook_check
151836626,ja,codebook_check
112911641,ja,codebook_check
167747848,ja,codebook_check
115896598,ja,codebook_check
169828434,ja,codebook_check
103320549,ja,codebook_check
176767223,ja,codebook_check
117176505,ja,codebook_check
172798343,ja,codebook_check
142480606,ja,codebook_check
111006379,ja,codebook_check
111245287,ja,codebook_check
112866745,ja,codebook_check
141456005,ja,codebook_check
103221105,ja,codebook_check
