review_id,lang,role
217797587,en,retest
202937972,en,retest
148928031,en,retest
114083525,en,retest
232062443,en,retest
103042299,en,retest
221548261,en,retest
199688176,en,retest
230318128,en,retest
199717724,en,retest
118355793,en,retest
227707782,en,retest
148539508,en,retest
226107952,en,retest
223930131,en,retest
225368240,en,retest
231728292,en,retest
103095598,en,retest
163631825,zh,retest
150436907,zh,retest
151032914,zh,retest
151039367,zh,retest
230587480,zh,retest
227213259,zh,retest
150268645,zh,retest
196370044,zh,retest
194854272,zh,retest
204069394,zh,retest
224500628,zh,retest
229553210,zh,retest
201567788,zh,retest
200429422,zh,retest
198741878,zh,retest
219993800,zh,retest
227572694,zh,retest
219983016,zh,retest
129681583,ja,retest
111006379,ja,retest
109029583,ja,retest
156768786,ja,retest
111412231,ja,retest
103119670,ja,retest
111214517,ja,retest
128089850,ja,retest
147921615,ja,retest
103221105,ja,retest
163966748,ja,retest
225883236,ja,retest
161084350,ja,retest
103074022,ja,retest
103320549,ja,retest
151836626,ja,retest
103050460,ja,retest
152584036,ja,retest
