review_id,appid,lang,steam_language,eligible_target_buckets,precision_tiers,matched_keyword_families,text_len
103030723,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,611
103032671,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,90
103039334,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,198
103040232,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,125
103045385,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,29
103049505,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,100
103051012,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Linux,263
103052188,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,77
103052314,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,117
103062643,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,326
103065596,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS,1326
103070672,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,30
103071842,1517290,en,english,access_exclusion,broad,access_exclusion:broad:BIOS,83
103073436,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,513
103073708,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,25
103073714,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,764
103074787,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:UEFI,547
103075447,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot|access_exclusion:broad:BIOS|access_exclusion:broad:UEFI,612
103076560,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,35
103079199,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,230
103081495,1517290,en,english,access_exclusion,broad,access_exclusion:broad:TPM,288
103085165,1517290,en,english,access_exclusion,broad,access_exclusion:broad:Secure Boot,19
